full_path,relative_path,style,filename,caption,emotion
data\raw\wikiart\Impressionism\konstantin-korovin_autumn-on-bridge.jpg,Impressionism\konstantin-korovin_autumn-on-bridge.jpg,Impressionism,konstantin-korovin_autumn-on-bridge.jpg,both sides of the painting look very intriguing makes you wonder where the person is coming from,contentment
data\raw\wikiart\Romanticism\jan-matejko_the-constitution-of-may-1889.jpg,Romanticism\jan-matejko_the-constitution-of-may-1889.jpg,Romanticism,jan-matejko_the-constitution-of-may-1889.jpg,The number of people in the painting and the minute detail of the people and background is very impressive.,awe
data\raw\wikiart\Color_Field_Painting\sven-lukin_pink-butress-1966.jpg,Color_Field_Painting\sven-lukin_pink-butress-1966.jpg,Color_Field_Painting,sven-lukin_pink-butress-1966.jpg,light pink color against a neon blue looks pretty,awe
data\raw\wikiart\Symbolism\konstantin-bogaevsky_old-town-1922.jpg,Symbolism\konstantin-bogaevsky_old-town-1922.jpg,Symbolism,konstantin-bogaevsky_old-town-1922.jpg,The dark grey colours and shadows are quite moody and oppressive.,fear
data\raw\wikiart\Impressionism\pierre-auguste-renoir_place-clichy.jpg,Impressionism\pierre-auguste-renoir_place-clichy.jpg,Impressionism,pierre-auguste-renoir_place-clichy.jpg,This painting looks like there’s a lot of hustle and bustle going on in the city.,excitement
data\raw\wikiart\Northern_Renaissance\joachim-wtewael_kitchen-scene-1605.jpg,Northern_Renaissance\joachim-wtewael_kitchen-scene-1605.jpg,Northern_Renaissance,joachim-wtewael_kitchen-scene-1605.jpg,"So many dead fish are on the ground, and dead animals are hanging from the wall",disgust
data\raw\wikiart\Impressionism\claude-monet_flowers-on-the-banks-of-seine-near-vetheuil.jpg,Impressionism\claude-monet_flowers-on-the-banks-of-seine-near-vetheuil.jpg,Impressionism,claude-monet_flowers-on-the-banks-of-seine-near-vetheuil.jpg,The attention to detail with the colors to create the water and plants gives me a sense of calm.,contentment
data\raw\wikiart\Impressionism\pierre-auguste-renoir_frederic-bazille-painting-the-heron-1867.jpg,Impressionism\pierre-auguste-renoir_frederic-bazille-painting-the-heron-1867.jpg,Impressionism,pierre-auguste-renoir_frederic-bazille-painting-the-heron-1867.jpg,The use of yellowish grays on the Jacket and the posture of the person.,contentment
data\raw\wikiart\Realism\leon-bonnat_self-portrait-1855.jpg,Realism\leon-bonnat_self-portrait-1855.jpg,Realism,leon-bonnat_self-portrait-1855.jpg,looks like a peculiar man with odd tastes,something else
data\raw\wikiart\Post_Impressionism\anna-ostroumova-lebedeva_petrograd-red-columns-1922.jpg,Post_Impressionism\anna-ostroumova-lebedeva_petrograd-red-columns-1922.jpg,Post_Impressionism,anna-ostroumova-lebedeva_petrograd-red-columns-1922.jpg,"from the view it looks like you are traveling on a river to a city, the brush strokes make this picture interesting",excitement
data\raw\wikiart\High_Renaissance\giovanni-antonio-boltraffio_portrait-of-a-young-woman.jpg,High_Renaissance\giovanni-antonio-boltraffio_portrait-of-a-young-woman.jpg,High_Renaissance,giovanni-antonio-boltraffio_portrait-of-a-young-woman.jpg,She looks upset at something.,contentment
data\raw\wikiart\Romanticism\gustave-dore_the-serpent.jpg,Romanticism\gustave-dore_the-serpent.jpg,Romanticism,gustave-dore_the-serpent.jpg,It's awe inspiring how the angelic figures are above the dark ground with the scary snake,awe
